tokenizer_family,model_name,language,length_label,input_chars,worker_processes,chunk_count,overlap_chars,native_e2e_time_ms,native_tokenizer_time_ms,chat_template_time_ms,mp_dispatch_process_collect_time_ms,chunk_dedup_time_ms,lopt_e2e_time_ms,e2e_speedup_x,tokenizer_speedup_x,tokenizer_time_drop_pct,native_output_tokens,lopt_output_tokens,exact_match,native_token_hash,lopt_token_hash
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,en,1k,1024,2,2,128,3.675,3.489,0.0,0.841,0.086,0.927,3.964,4.149,75.896,189,189,True,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,en,4k,4096,4,4,64,5.086,4.918,0.0,2.951,0.363,3.314,1.535,1.667,39.996,869,869,True,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,en,8k,8192,2,2,64,7.654,7.444,0.0,3.315,0.462,3.777,2.026,2.246,55.467,1714,1714,True,42eec4082f5fa83eefa2fcfe1c0c3cf82e0e4aaa849e1e31605a2a53199fe567,42eec4082f5fa83eefa2fcfe1c0c3cf82e0e4aaa849e1e31605a2a53199fe567
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,en,16k,16384,4,4,64,12.555,12.327,0.0,9.774,1.177,10.951,1.146,1.261,20.711,3350,3350,True,22e0ee4d4b0f1864283f0dda8b6157dc0f74ddfb0506769bd773567c5893f1fe,22e0ee4d4b0f1864283f0dda8b6157dc0f74ddfb0506769bd773567c5893f1fe
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,en,32k,32768,4,8,32,21.531,21.124,0.0,18.424,2.623,21.047,1.023,1.147,12.782,6816,6816,True,5bcc8c2f415620ea682b208b0714462cd2a7678e3b1687b8b55f2b3753fb5113,5bcc8c2f415620ea682b208b0714462cd2a7678e3b1687b8b55f2b3753fb5113
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,en,64k,65536,8,4,128,39.131,38.73,0.0,19.138,4.499,23.637,1.655,2.024,50.586,13744,13744,True,b119b5d6106eb458e20ef9b900032ce40c25ea160a34917360cfa719083685e0,b119b5d6106eb458e20ef9b900032ce40c25ea160a34917360cfa719083685e0
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,en,128k,131072,8,4,256,77.774,77.132,0.0,40.221,9.168,49.389,1.575,1.918,47.854,27415,27415,True,6cd88278d7826952a894e0dcd13b92cf88f96d7bcd919129b963bd6ce7293ec5,6cd88278d7826952a894e0dcd13b92cf88f96d7bcd919129b963bd6ce7293ec5
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,en,256k,262144,4,4,256,156.197,155.151,0.0,47.23,18.875,66.105,2.363,3.285,69.559,55657,55657,True,7c0214504c41d077b03ff7f8ec195d135baac37bccd2c6f5cc46c9195bb51f02,7c0214504c41d077b03ff7f8ec195d135baac37bccd2c6f5cc46c9195bb51f02
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,en,512k,524288,4,4,256,325.131,323.192,0.0,93.629,37.187,130.816,2.485,3.452,71.03,109589,109589,True,23cb7bf31f4f670b7d3080cbb3a8cd5e6f4f400c0ba1b589f374b1193893a36e,23cb7bf31f4f670b7d3080cbb3a8cd5e6f4f400c0ba1b589f374b1193893a36e
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,en,720k,737280,8,4,128,445.497,442.953,0.0,125.996,51.533,177.529,2.509,3.516,71.555,155900,155900,True,88b17d7837c53a64712298b2e5ff4529d33b6ba892def02d4054976d0b157cdf,88b17d7837c53a64712298b2e5ff4529d33b6ba892def02d4054976d0b157cdf
