tokenizer_family,model_name,tokenizer_path,tokenizer_mode,lopt_version,language,length_label,input_chars,worker_processes,chunk_count,overlap_chars,native_e2e_time_ms,native_tokenizer_time_ms,chat_template_time_ms,dispatch_submit_time_ms,dispatch_collect_time_ms,mp_dispatch_process_collect_time_ms,chunk_dedup_time_ms,worker_encode_time_ms_sum,worker_encode_time_ms_max,worker_materialize_time_ms_sum,worker_materialize_time_ms_max,lopt_e2e_time_ms,e2e_speedup_x,tokenizer_speedup_x,tokenizer_time_drop_pct,native_output_tokens,lopt_output_tokens,exact_match,native_token_hash,lopt_token_hash
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,v2,en,1k,1024,2,2,64,3.561,3.405,0.0,0.038,0.944,0.981,0.048,0.891,0.467,0.033,0.018,1.029,3.461,3.471,71.189,189,189,True,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,v2,en,4k,4096,1,1,1024,5.202,5.013,0.0,0.016,2.62,2.636,0.0,2.141,2.141,0.067,0.067,2.636,1.973,1.902,47.417,869,869,True,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,v2,en,8k,8192,4,4,64,10.082,9.721,0.0,0.095,6.347,6.445,0.087,5.191,1.544,0.139,0.037,6.532,1.543,1.508,33.7,1714,1714,True,42eec4082f5fa83eefa2fcfe1c0c3cf82e0e4aaa849e1e31605a2a53199fe567,42eec4082f5fa83eefa2fcfe1c0c3cf82e0e4aaa849e1e31605a2a53199fe567
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,v2,en,16k,16384,4,8,64,14.368,14.098,0.0,0.103,6.693,6.796,0.215,10.735,1.923,0.258,0.042,7.011,2.049,2.074,51.795,3350,3350,True,22e0ee4d4b0f1864283f0dda8b6157dc0f74ddfb0506769bd773567c5893f1fe,22e0ee4d4b0f1864283f0dda8b6157dc0f74ddfb0506769bd773567c5893f1fe
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,v2,en,32k,32768,4,16,32,23.76,23.467,0.0,0.201,14.166,14.494,0.482,23.447,2.719,0.484,0.047,14.976,1.587,1.619,38.237,6816,6816,True,5bcc8c2f415620ea682b208b0714462cd2a7678e3b1687b8b55f2b3753fb5113,5bcc8c2f415620ea682b208b0714462cd2a7678e3b1687b8b55f2b3753fb5113
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,v2,en,64k,65536,4,4,128,44.334,43.861,0.0,0.067,37.215,37.274,0.226,34.21,8.691,0.389,0.098,37.5,1.182,1.177,15.018,13744,13744,True,b119b5d6106eb458e20ef9b900032ce40c25ea160a34917360cfa719083685e0,b119b5d6106eb458e20ef9b900032ce40c25ea160a34917360cfa719083685e0
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,v2,en,128k,131072,8,4,128,87.999,87.144,0.0,0.084,79.167,79.257,0.343,73.5,19.2,0.748,0.194,79.6,1.106,1.1,9.051,27415,27415,True,6cd88278d7826952a894e0dcd13b92cf88f96d7bcd919129b963bd6ce7293ec5,6cd88278d7826952a894e0dcd13b92cf88f96d7bcd919129b963bd6ce7293ec5
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,v2,en,256k,262144,4,8,64,159.43,158.296,0.0,0.121,45.918,46.069,0.745,160.736,22.301,1.45,0.195,46.814,3.406,3.436,70.897,55657,55657,True,7c0214504c41d077b03ff7f8ec195d135baac37bccd2c6f5cc46c9195bb51f02,7c0214504c41d077b03ff7f8ec195d135baac37bccd2c6f5cc46c9195bb51f02
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,v2,en,512k,524288,8,4,512,331.54,329.61,0.0,0.075,78.347,78.42,1.109,287.445,72.81,2.539,0.67,79.529,4.169,4.203,76.208,109589,109589,True,23cb7bf31f4f670b7d3080cbb3a8cd5e6f4f400c0ba1b589f374b1193893a36e,23cb7bf31f4f670b7d3080cbb3a8cd5e6f4f400c0ba1b589f374b1193893a36e
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,v2,en,720k,737280,8,4,512,478.754,475.838,0.0,0.09,118.816,118.891,2.015,414.772,110.77,3.585,0.93,120.906,3.96,4.002,75.014,155900,155900,True,88b17d7837c53a64712298b2e5ff4529d33b6ba892def02d4054976d0b157cdf,88b17d7837c53a64712298b2e5ff4529d33b6ba892def02d4054976d0b157cdf
