tokenizer_family,model_name,tokenizer_path,tokenizer_mode,language,length_label,input_chars,worker_processes,chunk_count,chunk_chars,overlap_chars,chat_template_time_ms,mp_dispatch_process_collect_time_ms,chunk_dedup_time_ms,lopt_e2e_time_ms,native_e2e_time_ms,native_tokenizer_time_ms,native_output_tokens,native_token_hash,lopt_output_tokens,lopt_token_hash,exact_match,fallback_used,fallback_serial_time_ms,fallback_token_hash,error_message,candidate_status,actual_chunk_count,e2e_speedup_x,tokenizer_speedup_x,tokenizer_time_drop_pct
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,1k,1024,2,2,512,128,0.0,0.605,0.081,0.686,3.877,3.645,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,True,False,,,,valid,2,5.652,6.025,83.402
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,4k,4096,4,4,1024,64,0.0,1.084,0.343,1.427,5.953,5.558,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,True,False,,,,valid,4,4.172,5.127,80.497
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,8k,8192,2,2,4096,64,0.0,2.632,0.494,3.126,8.959,8.516,1714,42eec4082f5fa83eefa2fcfe1c0c3cf82e0e4aaa849e1e31605a2a53199fe567,1714,42eec4082f5fa83eefa2fcfe1c0c3cf82e0e4aaa849e1e31605a2a53199fe567,True,False,,,,valid,2,2.866,3.236,69.093
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,16k,16384,4,4,4096,64,0.0,2.993,1.163,4.156,13.097,12.679,3350,22e0ee4d4b0f1864283f0dda8b6157dc0f74ddfb0506769bd773567c5893f1fe,3350,22e0ee4d4b0f1864283f0dda8b6157dc0f74ddfb0506769bd773567c5893f1fe,True,False,,,,valid,4,3.151,4.236,76.394
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,32k,32768,4,8,4096,32,0.0,7.388,2.723,10.111,22.022,21.585,6816,5bcc8c2f415620ea682b208b0714462cd2a7678e3b1687b8b55f2b3753fb5113,6816,5bcc8c2f415620ea682b208b0714462cd2a7678e3b1687b8b55f2b3753fb5113,True,False,,,,valid,8,2.178,2.922,65.773
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,64k,65536,8,4,16384,128,0.0,10.967,4.9,15.867,40.253,39.58,13744,b119b5d6106eb458e20ef9b900032ce40c25ea160a34917360cfa719083685e0,13744,b119b5d6106eb458e20ef9b900032ce40c25ea160a34917360cfa719083685e0,True,False,,,,valid,4,2.537,3.609,72.292
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,128k,131072,8,4,32768,256,0.0,21.719,9.553,31.272,78.049,77.112,27415,6cd88278d7826952a894e0dcd13b92cf88f96d7bcd919129b963bd6ce7293ec5,27415,6cd88278d7826952a894e0dcd13b92cf88f96d7bcd919129b963bd6ce7293ec5,True,False,,,,valid,4,2.496,3.55,71.834
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,256k,262144,4,4,65536,256,0.0,44.121,18.986,63.107,152.366,150.815,55657,7c0214504c41d077b03ff7f8ec195d135baac37bccd2c6f5cc46c9195bb51f02,55657,7c0214504c41d077b03ff7f8ec195d135baac37bccd2c6f5cc46c9195bb51f02,True,False,,,,valid,4,2.414,3.418,70.745
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,512k,524288,4,4,131072,256,0.0,85.647,38.83,124.477,300.012,297.496,109589,23cb7bf31f4f670b7d3080cbb3a8cd5e6f4f400c0ba1b589f374b1193893a36e,109589,23cb7bf31f4f670b7d3080cbb3a8cd5e6f4f400c0ba1b589f374b1193893a36e,True,False,,,,valid,4,2.41,3.474,71.211
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,720k,737280,8,4,184320,128,0.0,119.426,52.31,171.736,443.752,440.965,155900,88b17d7837c53a64712298b2e5ff4529d33b6ba892def02d4054976d0b157cdf,155900,88b17d7837c53a64712298b2e5ff4529d33b6ba892def02d4054976d0b157cdf,True,False,,,,valid,4,2.584,3.692,72.917
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,880k,901120,4,4,225280,64,0.0,144.866,63.53,208.396,523.173,519.313,190854,373c501772ad0da29a6f37dc05103e970bcce2bcc3f6fe2c53f3372ba6dd749f,190854,373c501772ad0da29a6f37dc05103e970bcce2bcc3f6fe2c53f3372ba6dd749f,True,False,,,,valid,4,2.51,3.585,72.104
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,1024k,1048576,32,128,8192,256,0.0,55.974,101.24,157.214,659.281,655.041,220881,1c25c838cdb3e0a3dc9c22cdbbedd1095178f830f036cd16c2cb4e811e1a0b99,220881,1c25c838cdb3e0a3dc9c22cdbbedd1095178f830f036cd16c2cb4e811e1a0b99,True,False,,,,valid,128,4.194,11.703,91.455
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,1k,1024,2,2,512,64,0.0,0.982,0.167,1.149,48.232,47.636,552,387164bbe776e80919c8a3fa5e5a0652e696c787b6182870ce56c60f21ec1e5f,552,387164bbe776e80919c8a3fa5e5a0652e696c787b6182870ce56c60f21ec1e5f,True,False,,,,valid,2,41.977,48.509,97.939
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,4k,4096,2,2,2048,64,0.0,2.821,0.596,3.417,20.688,20.207,2352,a935e043487c4feccfe1b55c18bd0f6b9be113f7d5e5c2e247b3a912776c1a2a,2352,a935e043487c4feccfe1b55c18bd0f6b9be113f7d5e5c2e247b3a912776c1a2a,True,False,,,,valid,2,6.054,7.163,86.039
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,8k,8192,2,2,4096,64,0.0,5.435,1.212,6.647,21.586,21.041,4690,9c2efb7a0dfdf826de685e494791eda236be15b2d55a656acc8f408218dd2651,4690,9c2efb7a0dfdf826de685e494791eda236be15b2d55a656acc8f408218dd2651,True,False,,,,valid,2,3.247,3.871,74.169
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,16k,16384,8,4,4096,32,0.0,6.331,3.594,9.925,37.477,36.576,9364,f062cb30b9d8b42fa87087d43d1cb220a7316dc201ec14079190bc954c116a07,9364,f062cb30b9d8b42fa87087d43d1cb220a7316dc201ec14079190bc954c116a07,True,False,,,,valid,4,3.776,5.777,82.691
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,32k,32768,4,8,4096,32,0.0,11.189,7.577,18.766,64.515,63.69,18729,47b9be46c47794c37256511cbeface33803efa4d896a9f0b4737add404073689,18729,47b9be46c47794c37256511cbeface33803efa4d896a9f0b4737add404073689,True,False,,,,valid,8,3.438,5.692,82.432
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,64k,65536,8,16,4096,32,0.0,21.095,16.457,37.552,99.179,97.979,37465,e307449f85db241feb84fc8fdf31b3f74ab8ef6b861e99058875e3d2c7308e23,37465,e307449f85db241feb84fc8fdf31b3f74ab8ef6b861e99058875e3d2c7308e23,True,False,,,,valid,16,2.641,4.645,78.47
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,128k,131072,4,4,32768,64,0.0,47.223,25.581,72.804,179.939,177.917,74976,fb06951794fe86535ff8c60311e0681b2ce9b56c42e7625486c477db3e3c13ab,74976,fb06951794fe86535ff8c60311e0681b2ce9b56c42e7625486c477db3e3c13ab,True,False,,,,valid,4,2.472,3.768,73.458
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,256k,262144,8,4,65536,256,0.0,94.466,50.492,144.958,407.418,404.174,150013,e1945a60c71d2c1b2cf51721e32ed654835765d655e8cd62a41904df898aa67e,150013,e1945a60c71d2c1b2cf51721e32ed654835765d655e8cd62a41904df898aa67e,True,False,,,,valid,4,2.811,4.279,76.627
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,512k,524288,32,128,4096,32,0.0,67.87,133.426,201.296,795.424,789.659,300018,9bb1c68462b356abdd9842cbc3d0018118d2ba3401f9bc43267744f8011cad7c,300018,9bb1c68462b356abdd9842cbc3d0018118d2ba3401f9bc43267744f8011cad7c,True,False,,,,valid,128,3.952,11.635,91.405
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,zh,720k,737280,32,128,5760,64,0.0,82.881,189.063,271.944,1242.23,1234.089,421879,ac3995651b186dfd431797a41a18aab4de1323f461f5dbc142ff238155cc622d,421879,ac3995651b186dfd431797a41a18aab4de1323f461f5dbc142ff238155cc622d,True,False,,,,valid,128,4.568,14.89,93.284
