tokenizer_family,model_name,tokenizer_path,tokenizer_mode,language,length_label,input_chars,worker_processes,chunk_count,chunk_chars,overlap_chars,chat_template_time_ms,dispatch_submit_time_ms,dispatch_collect_time_ms,mp_dispatch_process_collect_time_ms,chunk_dedup_time_ms,worker_encode_time_ms_sum,worker_encode_time_ms_max,worker_materialize_time_ms_sum,worker_materialize_time_ms_max,lopt_e2e_time_ms,native_e2e_time_ms,native_tokenizer_time_ms,native_output_tokens,native_token_hash,lopt_output_tokens,lopt_token_hash,exact_match,fallback_used,fallback_serial_time_ms,fallback_token_hash,error_message,candidate_status,actual_chunk_count,e2e_speedup_x,tokenizer_speedup_x,tokenizer_time_drop_pct
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,1k,1024,2,2,512,64,0.0,0.029,0.675,0.704,0.027,0.638,0.336,0.031,0.018,0.731,3.819,3.568,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,189,c0b8acfe8b36c5c5674093aed35889e5aa607a4156a15ef6c29bc0c7c0b669d8,True,False,,,,valid,2,5.224,5.068,80.269
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,4k,4096,1,1,4096,1024,0.0,0.019,2.561,2.58,0.0,2.097,2.097,0.068,0.068,2.58,6.133,5.788,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,869,3b1904b516521561a98a1a7b55f80f1bee4d519ab605ce451c0cd0140cd38b48,True,False,,,,valid,1,2.377,2.243,55.425
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,8k,8192,4,4,2048,64,0.0,0.054,2.885,2.939,0.084,4.454,1.225,0.113,0.032,3.023,8.907,8.563,1714,42eec4082f5fa83eefa2fcfe1c0c3cf82e0e4aaa849e1e31605a2a53199fe567,1714,42eec4082f5fa83eefa2fcfe1c0c3cf82e0e4aaa849e1e31605a2a53199fe567,True,False,,,,valid,4,2.946,2.914,65.678
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,16k,16384,4,8,2048,64,0.0,0.091,4.245,4.336,0.155,9.257,1.392,0.229,0.03,4.491,13.798,13.224,3350,22e0ee4d4b0f1864283f0dda8b6157dc0f74ddfb0506769bd773567c5893f1fe,3350,22e0ee4d4b0f1864283f0dda8b6157dc0f74ddfb0506769bd773567c5893f1fe,True,False,,,,valid,8,3.072,3.05,67.211
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,32k,32768,4,16,2048,32,0.0,0.159,6.021,6.179,0.289,17.799,1.251,0.438,0.044,6.468,22.883,22.174,6816,5bcc8c2f415620ea682b208b0714462cd2a7678e3b1687b8b55f2b3753fb5113,6816,5bcc8c2f415620ea682b208b0714462cd2a7678e3b1687b8b55f2b3753fb5113,True,False,,,,valid,16,3.538,3.589,72.134
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,64k,65536,4,4,16384,128,0.0,0.056,10.18,10.236,0.158,34.763,9.122,0.405,0.112,10.394,40.853,40.053,13744,b119b5d6106eb458e20ef9b900032ce40c25ea160a34917360cfa719083685e0,13744,b119b5d6106eb458e20ef9b900032ce40c25ea160a34917360cfa719083685e0,True,False,,,,valid,4,3.93,3.913,74.444
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,128k,131072,8,4,32768,128,0.0,0.068,19.915,19.983,0.255,70.978,18.19,0.748,0.194,20.238,77.863,76.728,27415,6cd88278d7826952a894e0dcd13b92cf88f96d7bcd919129b963bd6ce7293ec5,27415,6cd88278d7826952a894e0dcd13b92cf88f96d7bcd919129b963bd6ce7293ec5,True,False,,,,valid,4,3.847,3.84,73.956
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,256k,262144,4,8,32768,64,0.0,0.174,38.329,38.502,0.697,137.437,17.893,1.596,0.216,39.199,158.397,155.829,55657,7c0214504c41d077b03ff7f8ec195d135baac37bccd2c6f5cc46c9195bb51f02,55657,7c0214504c41d077b03ff7f8ec195d135baac37bccd2c6f5cc46c9195bb51f02,True,False,,,,valid,8,4.041,4.047,75.292
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,512k,524288,8,4,131072,512,0.0,0.147,78.087,78.234,2.096,279.658,71.388,2.962,0.756,80.33,310.823,307.943,109589,23cb7bf31f4f670b7d3080cbb3a8cd5e6f4f400c0ba1b589f374b1193893a36e,109589,23cb7bf31f4f670b7d3080cbb3a8cd5e6f4f400c0ba1b589f374b1193893a36e,True,False,,,,valid,4,3.869,3.936,74.595
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,/root/LoPT/tokenizers/deepseek_v4_pro,hf,en,720k,737280,8,4,184320,512,0.0,0.075,106.942,107.017,1.102,378.822,98.08,4.682,1.573,108.119,450.538,446.771,155900,88b17d7837c53a64712298b2e5ff4529d33b6ba892def02d4054976d0b157cdf,155900,88b17d7837c53a64712298b2e5ff4529d33b6ba892def02d4054976d0b157cdf,True,False,,,,valid,4,4.167,4.175,76.047
