tokenizer_family,model_name,tokenizer_path,tokenizer_mode,language,length_label,input_chars,worker_processes,chunk_count,chunk_chars,overlap_chars,chat_template_time_ms,mp_dispatch_process_collect_time_ms,chunk_dedup_time_ms,lopt_e2e_time_ms,native_e2e_time_ms,native_tokenizer_time_ms,native_output_tokens,native_token_hash,lopt_output_tokens,lopt_token_hash,exact_match,fallback_used,fallback_serial_time_ms,fallback_token_hash,error_message,candidate_status,actual_chunk_count
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,1,1,1024,32,0.0,1.508,0.0,1.508,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,1
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,1,1,1024,64,0.0,0.887,0.0,0.887,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,1
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,1,1,1024,128,0.0,0.837,0.0,0.837,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,1
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,1,1,1024,256,0.0,0.851,0.0,0.851,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,1
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,1,1,1024,512,0.0,0.803,0.0,0.803,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,1
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,1,2,512,32,0.0,8.211,0.101,8.312,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,2
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,1,2,512,64,0.0,0.961,0.092,1.053,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,2
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,1,2,512,128,0.0,0.968,0.095,1.063,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,2
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,1,2,512,256,0.0,1.014,0.106,1.12,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,2
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,1,4,256,32,0.0,1.229,0.111,1.34,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,4
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,1,4,256,64,0.0,1.188,0.132,1.32,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,4
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,1,4,256,128,0.0,1.274,0.161,1.435,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,4
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,2,1,1024,32,0.0,1.245,0.0,1.245,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,1
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,2,1,1024,64,0.0,0.832,0.0,0.832,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,1
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,2,1,1024,128,0.0,0.788,0.0,0.788,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,1
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,2,1,1024,256,0.0,0.768,0.0,0.768,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,1
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,2,1,1024,512,0.0,0.767,0.0,0.767,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,1
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,2,2,512,32,0.0,0.943,0.074,1.017,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,2
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,2,2,512,64,0.0,0.915,0.079,0.994,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,2
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,2,2,512,128,0.0,0.935,0.087,1.022,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,2
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,2,2,512,256,0.0,0.991,0.107,1.098,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,2
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,2,4,256,32,0.0,1.141,0.113,1.254,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,4
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,2,4,256,64,0.0,1.148,0.127,1.275,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,4
