tokenizer_family,model_name,tokenizer_path,tokenizer_mode,language,length_label,input_chars,worker_processes,chunk_count,chunk_chars,overlap_chars,chat_template_time_ms,mp_dispatch_process_collect_time_ms,chunk_dedup_time_ms,lopt_e2e_time_ms,native_e2e_time_ms,native_tokenizer_time_ms,native_output_tokens,native_token_hash,lopt_output_tokens,lopt_token_hash,exact_match,fallback_used,fallback_serial_time_ms,fallback_token_hash,error_message,candidate_status,actual_chunk_count,e2e_speedup_x,tokenizer_speedup_x,tokenizer_time_drop_pct
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,1,1,1024,512,0.0,0.803,0.0,0.803,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,1,4.908,4.648,78.483
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,2,1,1024,512,0.0,0.767,0.0,0.767,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,1,5.138,4.866,79.448
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,4,1,1024,512,0.0,0.846,0.0,0.846,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,1,4.658,4.411,77.331
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,4k,4096,1,1,4096,512,0.0,2.504,0.0,2.504,6.139,5.751,904,55a582c1b36a0b6939bdf6bcfb5e057f10e5c98d807102ad3e0e93ab489330a0,904,55a582c1b36a0b6939bdf6bcfb5e057f10e5c98d807102ad3e0e93ab489330a0,True,False,,,,valid,1,2.452,2.297,56.46
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,4k,4096,2,4,1024,64,0.0,1.704,0.39,2.094,6.139,5.751,904,55a582c1b36a0b6939bdf6bcfb5e057f10e5c98d807102ad3e0e93ab489330a0,904,55a582c1b36a0b6939bdf6bcfb5e057f10e5c98d807102ad3e0e93ab489330a0,True,False,,,,valid,4,2.932,3.375,70.37
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,4k,4096,4,1,4096,2048,0.0,2.459,0.0,2.459,6.139,5.751,904,55a582c1b36a0b6939bdf6bcfb5e057f10e5c98d807102ad3e0e93ab489330a0,904,55a582c1b36a0b6939bdf6bcfb5e057f10e5c98d807102ad3e0e93ab489330a0,True,False,,,,valid,1,2.497,2.339,57.242
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,8k,8192,1,1,8192,1024,0.0,4.738,0.0,4.738,9.13,8.799,1750,014ca5abfc22396d0dae0e43e9f2d1bfe39f4c383792c9aed684f002b324ca69,1750,014ca5abfc22396d0dae0e43e9f2d1bfe39f4c383792c9aed684f002b324ca69,True,False,,,,valid,1,1.927,1.857,46.153
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,8k,8192,2,1,8192,2048,0.0,4.728,0.0,4.728,9.13,8.799,1750,014ca5abfc22396d0dae0e43e9f2d1bfe39f4c383792c9aed684f002b324ca69,1750,014ca5abfc22396d0dae0e43e9f2d1bfe39f4c383792c9aed684f002b324ca69,True,False,,,,valid,1,1.931,1.861,46.267
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,8k,8192,4,1,8192,2048,0.0,4.709,0.0,4.709,9.13,8.799,1750,014ca5abfc22396d0dae0e43e9f2d1bfe39f4c383792c9aed684f002b324ca69,1750,014ca5abfc22396d0dae0e43e9f2d1bfe39f4c383792c9aed684f002b324ca69,True,False,,,,valid,1,1.939,1.869,46.483
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,8k,8192,8,4,2048,64,0.0,2.874,0.714,3.588,9.13,8.799,1750,014ca5abfc22396d0dae0e43e9f2d1bfe39f4c383792c9aed684f002b324ca69,1750,014ca5abfc22396d0dae0e43e9f2d1bfe39f4c383792c9aed684f002b324ca69,True,False,,,,valid,4,2.545,3.062,67.337
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,8k,8192,16,1,8192,4096,0.0,4.659,0.0,4.659,9.13,8.799,1750,014ca5abfc22396d0dae0e43e9f2d1bfe39f4c383792c9aed684f002b324ca69,1750,014ca5abfc22396d0dae0e43e9f2d1bfe39f4c383792c9aed684f002b324ca69,True,False,,,,valid,1,1.96,1.889,47.051
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,16k,16384,1,1,16384,4096,0.0,9.566,0.0,9.566,13.858,13.47,3390,04557f437df944faee82fa63347373ad726743804a1a710315e1decb46166f20,3390,04557f437df944faee82fa63347373ad726743804a1a710315e1decb46166f20,True,False,,,,valid,1,1.449,1.408,28.983
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,16k,16384,2,2,8192,64,0.0,4.995,0.771,5.766,13.858,13.47,3390,04557f437df944faee82fa63347373ad726743804a1a710315e1decb46166f20,3390,04557f437df944faee82fa63347373ad726743804a1a710315e1decb46166f20,True,False,,,,valid,2,2.403,2.697,62.918
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,16k,16384,4,4,4096,32,0.0,3.048,1.131,4.179,13.858,13.47,3390,04557f437df944faee82fa63347373ad726743804a1a710315e1decb46166f20,3390,04557f437df944faee82fa63347373ad726743804a1a710315e1decb46166f20,True,False,,,,valid,4,3.316,4.419,77.372
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,16k,16384,8,8,2048,64,0.0,5.672,1.459,7.131,13.858,13.47,3390,04557f437df944faee82fa63347373ad726743804a1a710315e1decb46166f20,3390,04557f437df944faee82fa63347373ad726743804a1a710315e1decb46166f20,True,False,,,,valid,8,1.943,2.375,57.892
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,32k,32768,1,1,32768,2048,0.0,18.759,0.0,18.759,23.346,22.888,6860,22d2acec1033f8978f54bde83b76988db981cbc8469ca0b84bbfb3d81996053f,6860,22d2acec1033f8978f54bde83b76988db981cbc8469ca0b84bbfb3d81996053f,True,False,,,,valid,1,1.245,1.22,18.04
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,32k,32768,2,2,16384,64,0.0,10.454,1.542,11.996,23.346,22.888,6860,22d2acec1033f8978f54bde83b76988db981cbc8469ca0b84bbfb3d81996053f,6860,22d2acec1033f8978f54bde83b76988db981cbc8469ca0b84bbfb3d81996053f,True,False,,,,valid,2,1.946,2.189,54.325
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,32k,32768,4,2,16384,128,0.0,10.346,1.645,11.991,23.346,22.888,6860,22d2acec1033f8978f54bde83b76988db981cbc8469ca0b84bbfb3d81996053f,6860,22d2acec1033f8978f54bde83b76988db981cbc8469ca0b84bbfb3d81996053f,True,False,,,,valid,2,1.947,2.212,54.797
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,32k,32768,8,16,2048,64,0.0,5.846,3.099,8.945,23.346,22.888,6860,22d2acec1033f8978f54bde83b76988db981cbc8469ca0b84bbfb3d81996053f,6860,22d2acec1033f8978f54bde83b76988db981cbc8469ca0b84bbfb3d81996053f,True,False,,,,valid,16,2.61,3.915,74.458
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,32k,32768,16,32,1024,64,0.0,12.656,3.51,16.166,23.346,22.888,6860,22d2acec1033f8978f54bde83b76988db981cbc8469ca0b84bbfb3d81996053f,6860,22d2acec1033f8978f54bde83b76988db981cbc8469ca0b84bbfb3d81996053f,True,False,,,,valid,32,1.444,1.808,44.705
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,64k,65536,1,1,65536,4096,0.0,38.25,0.0,38.25,42.896,42.156,13849,f93ba46486199b3afb69f8e347831d5772ab09ca1c4aff428a81755b133fc66f,13849,f93ba46486199b3afb69f8e347831d5772ab09ca1c4aff428a81755b133fc66f,True,False,,,,valid,1,1.121,1.102,9.266
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,64k,65536,2,2,32768,128,0.0,20.082,3.297,23.379,42.896,42.156,13849,f93ba46486199b3afb69f8e347831d5772ab09ca1c4aff428a81755b133fc66f,13849,f93ba46486199b3afb69f8e347831d5772ab09ca1c4aff428a81755b133fc66f,True,False,,,,valid,2,1.835,2.099,52.363
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,64k,65536,4,8,8192,64,0.0,10.847,5.875,16.722,42.896,42.156,13849,f93ba46486199b3afb69f8e347831d5772ab09ca1c4aff428a81755b133fc66f,13849,f93ba46486199b3afb69f8e347831d5772ab09ca1c4aff428a81755b133fc66f,True,False,,,,valid,8,2.565,3.886,74.269
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,64k,65536,8,16,4096,32,0.0,10.696,5.938,16.634,42.896,42.156,13849,f93ba46486199b3afb69f8e347831d5772ab09ca1c4aff428a81755b133fc66f,13849,f93ba46486199b3afb69f8e347831d5772ab09ca1c4aff428a81755b133fc66f,True,False,,,,valid,16,2.579,3.941,74.628
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,64k,65536,16,16,4096,32,0.0,10.803,5.968,16.771,42.896,42.156,13849,f93ba46486199b3afb69f8e347831d5772ab09ca1c4aff428a81755b133fc66f,13849,f93ba46486199b3afb69f8e347831d5772ab09ca1c4aff428a81755b133fc66f,True,False,,,,valid,16,2.558,3.902,74.374
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,128k,131072,1,1,131072,512,0.0,79.241,0.0,79.241,80.271,79.213,27769,db3d6d844cc4b2d6acce65f32410398abfbff821cb82854c75985927a8b961d3,27769,db3d6d844cc4b2d6acce65f32410398abfbff821cb82854c75985927a8b961d3,True,False,,,,valid,1,1.013,1.0,-0.035
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,128k,131072,2,2,65536,64,0.0,41.098,6.46,47.558,80.271,79.213,27769,db3d6d844cc4b2d6acce65f32410398abfbff821cb82854c75985927a8b961d3,27769,db3d6d844cc4b2d6acce65f32410398abfbff821cb82854c75985927a8b961d3,True,False,,,,valid,2,1.688,1.927,48.117
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,128k,131072,4,8,16384,128,0.0,22.458,11.686,34.144,80.271,79.213,27769,db3d6d844cc4b2d6acce65f32410398abfbff821cb82854c75985927a8b961d3,27769,db3d6d844cc4b2d6acce65f32410398abfbff821cb82854c75985927a8b961d3,True,False,,,,valid,8,2.351,3.527,71.649
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,128k,131072,8,4,32768,128,0.0,22.971,9.663,32.634,80.271,79.213,27769,db3d6d844cc4b2d6acce65f32410398abfbff821cb82854c75985927a8b961d3,27769,db3d6d844cc4b2d6acce65f32410398abfbff821cb82854c75985927a8b961d3,True,False,,,,valid,4,2.46,3.448,71.001
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,128k,131072,16,8,16384,256,0.0,22.083,11.116,33.199,80.271,79.213,27769,db3d6d844cc4b2d6acce65f32410398abfbff821cb82854c75985927a8b961d3,27769,db3d6d844cc4b2d6acce65f32410398abfbff821cb82854c75985927a8b961d3,True,False,,,,valid,8,2.418,3.587,72.122
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,256k,262144,1,1,262144,128,0.0,163.349,0.0,163.349,165.855,164.258,56643,95546d014e76a33c5b62608c2b9778b18f221a9eb1b920eac764388ea774913e,56643,95546d014e76a33c5b62608c2b9778b18f221a9eb1b920eac764388ea774913e,True,False,,,,valid,1,1.015,1.006,0.553
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,256k,262144,2,2,131072,2048,0.0,84.338,13.64,97.978,165.855,164.258,56643,95546d014e76a33c5b62608c2b9778b18f221a9eb1b920eac764388ea774913e,56643,95546d014e76a33c5b62608c2b9778b18f221a9eb1b920eac764388ea774913e,True,False,,,,valid,2,1.693,1.948,48.655
